Billing_ID,UserID,SubscriptionPlan,Amount,Currency,TransactionDate,PaymentMethod,PaymentStatus,Churn
BILL-c7053b74,USER-2130,Enterprise,71.16,USD,2024-07-15T17:09:28.759243,Credit Card,Pending,1
BILL-f6fe7e56,USER-2625,Premium,324.95,USD,2023-12-24T10:07:01.570484,Wire Transfer,Failed,0
BILL-dc5ebe15,USER-2433,Standard,277.07,USD,2024-09-24T16:10:16.351231,Credit Card,Completed,0
BILL-11e27330,USER-5514,Premium,103.73,USD,2023-06-04T08:35:06.576073,Credit Card,Completed,0
BILL-2c1d0e98,USER-2412,Premium,481.6,USD,2025-02-19T06:57:55.954580,Wire Transfer,Pending,0
BILL-8645deb6,USER-9268,Premium,122.18,USD,2024-06-15T02:48:20.931010,Wire Transfer,Completed,0
BILL-947b1558,USER-1840,Enterprise,16.0,USD,2024-04-25T03:34:33.768124,PayPal,Pending,0
BILL-d152fd1a,USER-8313,Basic,76.53,USD,2024-07-21T19:20:57.244648,Wire Transfer,Failed,1
BILL-62441fad,USER-1094,Premium,310.85,USD,2023-07-04T10:54:24.364572,Wire Transfer,Pending,0
BILL-c01cb48e,USER-2110,Basic,286.08,USD,2023-05-07T05:50:19.043998,Wire Transfer,Failed,1
BILL-3e527791,USER-8333,Premium,100.13,USD,2023-05-20T21:47:07.756911,Wire Transfer,Failed,1
BILL-1a83e614,USER-5798,Enterprise,496.35,USD,2024-04-30T10:52:02.244373,Wire Transfer,Completed,0
BILL-5c99e953,USER-9037,Standard,212.2,USD,2024-08-26T05:34:28.718066,Wire Transfer,Failed,1
BILL-7c8018fd,USER-6685,Standard,221.91,USD,2024-12-14T10:25:20.438189,PayPal,Pending,0
BILL-22fe804c,USER-1557,Premium,81.97,USD,2024-07-11T21:25:12.586348,PayPal,Completed,0
BILL-38208ee5,USER-7409,Enterprise,325.14,USD,2024-08-01T22:43:26.035273,Wire Transfer,Failed,1
BILL-302c7959,USER-4925,Standard,248.42,USD,2023-08-13T10:30:02.569039,Wire Transfer,Pending,0
BILL-6ac5a90a,USER-9081,Premium,360.91,USD,2025-02-13T08:24:08.541039,PayPal,Failed,1
BILL-d0c98291,USER-6008,Enterprise,470.48,USD,2023-05-14T19:45:05.016756,PayPal,Completed,0
BILL-4d305a09,USER-9276,Premium,314.57,USD,2023-07-25T01:33:58.275535,PayPal,Failed,1
BILL-fcba8e3b,USER-7761,Enterprise,143.73,USD,2024-06-13T11:43:29.337721,Wire Transfer,Pending,0
BILL-a149f604,USER-9392,Basic,488.41,USD,2024-05-24T20:05:28.365990,Credit Card,Completed,1
BILL-66a16b1d,USER-1627,Standard,295.77,USD,2024-04-07T21:56:00.923646,Credit Card,Pending,0
BILL-1328878f,USER-3903,Standard,433.12,USD,2025-01-20T21:10:51.128082,Wire Transfer,Completed,0
BILL-091ac6f4,USER-8021,Enterprise,133.61,USD,2023-05-25T22:17:15.318955,Credit Card,Completed,0
BILL-b23ba597,USER-7946,Basic,263.5,USD,2024-03-01T20:17:13.211508,PayPal,Completed,0
BILL-13ff8b4f,USER-9129,Basic,283.34,USD,2024-05-28T20:06:39.695275,PayPal,Pending,1
BILL-7ace6863,USER-3124,Basic,371.89,USD,2024-08-30T07:41:16.352422,Credit Card,Failed,0
BILL-38eb603b,USER-4094,Basic,486.47,USD,2024-09-23T04:42:43.954406,Wire Transfer,Failed,1
BILL-d55a12d8,USER-9687,Standard,140.54,USD,2023-11-09T06:46:11.148449,Credit Card,Completed,0
BILL-b0e5823b,USER-1958,Basic,140.87,USD,2024-12-26T16:29:31.020394,Wire Transfer,Failed,1
BILL-0bb49073,USER-1026,Basic,311.84,USD,2024-02-15T18:08:00.754489,Wire Transfer,Pending,1
BILL-7f4c7f02,USER-6123,Enterprise,267.19,USD,2024-06-16T12:34:05.794136,Credit Card,Completed,0
BILL-60f9f69d,USER-5332,Standard,182.13,USD,2024-07-23T06:23:27.913020,Credit Card,Completed,0
BILL-a3ad455a,USER-3188,Basic,234.81,USD,2024-05-20T22:38:52.147153,Wire Transfer,Failed,1
BILL-95bb66a1,USER-5473,Basic,138.4,USD,2024-12-19T05:50:22.717917,Wire Transfer,Completed,1
BILL-e0bbd25c,USER-6872,Premium,431.42,USD,2023-08-15T14:44:46.764334,Credit Card,Completed,0
BILL-d591d21f,USER-6099,Premium,328.85,USD,2024-11-12T07:25:48.387441,PayPal,Pending,0
BILL-fbf156ad,USER-8130,Basic,121.87,USD,2024-07-21T11:07:08.921802,Credit Card,Pending,0
BILL-ed9c6b20,USER-4340,Premium,106.88,USD,2024-08-18T03:06:50.276334,Credit Card,Failed,1
BILL-7e6a73e3,USER-5976,Premium,473.75,USD,2023-10-24T22:00:12.983023,Wire Transfer,Completed,0
BILL-839dd8a9,USER-6376,Basic,168.95,USD,2024-11-23T10:18:15.761558,Credit Card,Failed,1
BILL-1116b3af,USER-7867,Premium,172.06,USD,2025-01-31T11:54:23.683987,Wire Transfer,Pending,0
BILL-a415de07,USER-2551,Enterprise,57.27,USD,2024-05-19T04:51:47.198819,Credit Card,Failed,1
BILL-bf3be9c9,USER-5001,Premium,267.46,USD,2023-07-19T00:06:53.748497,Wire Transfer,Completed,0
BILL-c9319bbb,USER-7328,Premium,237.5,USD,2025-02-21T13:48:51.195845,Credit Card,Pending,0
BILL-5b1d4c71,USER-9713,Basic,25.44,USD,2024-12-13T04:48:56.895223,Wire Transfer,Pending,0
BILL-183221cc,USER-9358,Premium,256.45,USD,2024-01-10T09:47:59.974009,PayPal,Pending,0
BILL-dadf8c1d,USER-6803,Enterprise,38.27,USD,2023-08-27T14:01:24.014882,Credit Card,Pending,0
BILL-c3db4255,USER-8635,Standard,20.78,USD,2024-12-25T22:53:49.022883,Credit Card,Completed,0
BILL-923aa0fa,USER-9286,Basic,228.48,USD,2024-11-27T08:37:57.151618,Credit Card,Pending,0
BILL-2436a5f8,USER-5955,Premium,219.66,USD,2024-02-26T14:51:29.341026,Credit Card,Failed,0
BILL-0f45cbef,USER-2293,Premium,401.86,USD,2023-08-12T03:28:34.219350,Wire Transfer,Failed,1
BILL-86a6413e,USER-6844,Basic,467.13,USD,2024-05-16T00:31:24.649474,Credit Card,Completed,0
BILL-f6289b4f,USER-7498,Enterprise,197.69,USD,2024-09-12T09:56:09.313165,Wire Transfer,Pending,0
BILL-0d6cb8c4,USER-2303,Enterprise,261.03,USD,2023-08-13T21:39:51.871411,Credit Card,Failed,1
BILL-9878b9a0,USER-7261,Basic,37.16,USD,2024-06-16T00:42:48.691440,Wire Transfer,Failed,1
BILL-43696855,USER-6059,Premium,10.8,USD,2024-08-17T11:40:54.002537,Wire Transfer,Failed,1
BILL-88f317e4,USER-3148,Enterprise,94.88,USD,2024-03-26T12:39:36.417695,PayPal,Failed,1
BILL-ca36ac7a,USER-8988,Basic,126.27,USD,2024-10-10T05:54:19.488943,Wire Transfer,Failed,1
BILL-859da867,USER-4626,Standard,369.63,USD,2025-02-03T21:17:43.159432,Wire Transfer,Failed,0
BILL-f8e58a73,USER-9027,Standard,182.01,USD,2024-01-05T13:58:01.368819,PayPal,Failed,1
BILL-dda72303,USER-1964,Basic,119.74,USD,2023-06-10T07:03:29.059878,PayPal,Completed,1
BILL-88a1b191,USER-4949,Premium,284.8,USD,2024-02-09T01:40:47.584301,Credit Card,Completed,0
BILL-5f1c3e8c,USER-3942,Enterprise,490.03,USD,2023-04-17T08:05:57.900321,Credit Card,Pending,0
BILL-77ed653c,USER-8792,Basic,32.31,USD,2024-10-24T23:20:02.347515,PayPal,Failed,1
BILL-92ed63bf,USER-2060,Premium,421.4,USD,2024-01-25T01:42:03.059403,Credit Card,Pending,0
BILL-e5e92ca3,USER-4652,Premium,52.19,USD,2024-02-03T13:58:05.144099,Wire Transfer,Failed,0
BILL-516f571d,USER-4241,Enterprise,173.72,USD,2024-10-12T17:56:21.003308,Wire Transfer,Failed,1
BILL-3dac1f0d,USER-6987,Enterprise,440.2,USD,2023-06-02T20:48:28.850484,Credit Card,Pending,0
BILL-678af784,USER-5000,Enterprise,398.86,USD,2024-08-26T06:49:35.759950,Wire Transfer,Failed,0
BILL-cb7918fc,USER-4119,Standard,351.86,USD,2023-04-13T18:50:28.075368,PayPal,Completed,0
BILL-93146cb7,USER-7421,Basic,167.3,USD,2023-11-15T19:25:11.498593,Wire Transfer,Completed,0
BILL-cc16f76f,USER-6223,Enterprise,404.74,USD,2024-11-24T03:26:16.342920,PayPal,Completed,0
BILL-be3112d7,USER-3051,Premium,497.9,USD,2025-01-18T03:58:21.015800,PayPal,Completed,0
BILL-d4734052,USER-3584,Standard,233.45,USD,2023-09-30T21:00:35.565068,Credit Card,Completed,0
BILL-7ca73f84,USER-4743,Enterprise,399.22,USD,2024-03-09T05:14:51.974696,Credit Card,Completed,1
BILL-b80447a2,USER-5415,Enterprise,186.86,USD,2023-12-09T17:57:19.547610,Credit Card,Failed,1
BILL-7094b8c7,USER-2407,Premium,384.47,USD,2023-03-18T03:04:31.878304,Credit Card,Pending,0
BILL-66e22981,USER-6606,Premium,161.14,USD,2023-12-31T08:58:38.527714,Wire Transfer,Completed,0
BILL-81608d3e,USER-5138,Standard,329.38,USD,2024-05-14T11:10:01.470969,Credit Card,Pending,0
BILL-ed39961c,USER-2758,Premium,332.05,USD,2024-10-25T02:40:54.308218,PayPal,Failed,1
BILL-44e357be,USER-4029,Enterprise,355.74,USD,2023-12-11T12:33:56.618162,Credit Card,Failed,1
BILL-9b296464,USER-9208,Enterprise,387.88,USD,2024-03-20T00:44:24.740226,Wire Transfer,Failed,1
BILL-3a6accd5,USER-9421,Standard,465.46,USD,2024-05-21T19:38:21.108978,Wire Transfer,Failed,1
BILL-9163ad9d,USER-4692,Standard,60.24,USD,2024-07-05T00:00:41.792950,Wire Transfer,Completed,0
BILL-6843e051,USER-9668,Premium,101.6,USD,2024-01-16T18:47:18.118232,Wire Transfer,Completed,0
BILL-4619afcb,USER-7073,Enterprise,289.29,USD,2023-05-12T02:11:50.922101,Wire Transfer,Failed,1
BILL-0a56f716,USER-6091,Enterprise,154.82,USD,2024-03-23T02:29:42.425502,Wire Transfer,Pending,0
BILL-306f4078,USER-6657,Enterprise,437.59,USD,2024-08-16T09:33:23.624885,PayPal,Pending,0
BILL-4c8fe42b,USER-1657,Premium,188.21,USD,2024-03-12T05:25:11.258690,Wire Transfer,Pending,1
BILL-9a4205c2,USER-3475,Enterprise,240.71,USD,2023-11-10T22:27:58.269470,Credit Card,Completed,0
BILL-bbd89357,USER-7410,Standard,395.45,USD,2024-10-25T14:53:42.566885,Credit Card,Completed,0
BILL-99f7839e,USER-7712,Basic,463.12,USD,2023-05-24T20:34:42.204074,Wire Transfer,Completed,0
BILL-3686481f,USER-7073,Standard,127.04,USD,2023-04-23T22:08:43.831541,Credit Card,Completed,0
BILL-e9f39d34,USER-9912,Enterprise,173.52,USD,2024-02-06T20:12:58.572683,Credit Card,Failed,1
