Ticket_ID,SubmittedAt,UpdatedAt,UserID,TicketSubject,TicketDescription,Status,Priority,Agent,Churn
ZD-9e8d9cc8,2024-10-27T20:38:32.780454,2024-11-25T20:38:32.780454,USER-2163,Affect change evidence and sing table. Election oil low others professor.,Artist drug huge room under. Itself guess of message kind.,Open,Urgent,Bradley Hicks,0
ZD-9831a2e7,2024-12-11T05:53:12.712889,2024-12-27T05:53:12.712889,USER-3743,Section off everything turn artist tell. Study nation form later.,Some small develop by success live alone. Town single lay rest collection.,New,Normal,Alexander Blair,0
ZD-002ee304,2024-12-09T23:32:20.494166,2025-01-03T23:32:20.494166,USER-6612,Try school still one reality politics rest. Worry others book growth door local.,Happen if agree six more mind also. Add happen four activity final close hair hair.,Closed,Low,Emily Miller,0
ZD-b9194fdd,2024-08-10T10:38:10.863898,2024-08-17T10:38:10.863898,USER-4100,Contain popular one open better lot someone. Partner clear listen husband.,Create for man she enough. Increase while defense black network lose accept.,New,High,Allison Williams,0
ZD-17615042,2024-09-04T11:51:36.325238,2024-09-18T11:51:36.325238,USER-1748,Dinner past long cup purpose hot. Nature assume you support he for.,Money wrong campaign year court. Teach get edge sell.,Pending,Low,Monique Johnston,1
ZD-3a310ff3,2023-10-09T15:10:51.922713,2023-10-12T15:10:51.922713,USER-7340,Pressure medical raise none. Well reason bit such blood.,Student scene plan respond. Whole hundred work ground of.,Open,High,Rebecca Schneider,1
ZD-1f8e2a01,2025-01-17T15:52:57.030657,2025-01-24T15:52:57.030657,USER-5329,Break peace sister visit need instead time. Trouble moment growth suggest after.,Suffer while manage social time just discover pretty. Officer serve perform get.,Closed,Low,Michele Berger,0
ZD-5542f734,2024-11-02T04:38:53.330442,2024-11-16T04:38:53.330442,USER-1096,National somebody nation case action local. Push matter always my technology really.,Else lead their would. World owner way avoid your important by.,New,Urgent,Debbie Bailey,1
ZD-db7dd0e1,2025-01-14T07:49:37.315212,2025-01-25T07:49:37.315212,USER-3408,More sit low as pressure down. Write them cover.,Attention cause officer star century right. Raise material effect hospital her suggest performance.,Pending,High,Jeffrey Everett,1
ZD-f0e10234,2023-07-30T06:26:17.211698,2023-08-29T06:26:17.211698,USER-9866,Hand worker beyond. Each agency manage choose.,Read program senior choice. Play serious player force animal.,Solved,Urgent,Abigail Oliver,0
ZD-be303c5e,2023-03-05T19:33:10.760798,2023-03-26T19:33:10.760798,USER-1805,Energy like pretty son camera rather also language. Wife appear within discuss simple garden.,Choice hard under stage range by. Phone organization use note all.,New,Low,Hailey Melendez,0
ZD-073e6256,2025-02-14T06:47:12.744869,2025-02-26T06:47:12.744869,USER-5973,Sport edge save not officer member young. Put southern of.,Artist others work guess number. Clear huge power sign continue thousand take building.,Solved,Low,Tiffany Humphrey,0
ZD-f3eb8f82,2024-11-03T20:48:50.885813,2024-11-12T20:48:50.885813,USER-7993,Skin either interesting bad side building race. Either little community what none war.,Pattern quality out reduce lay race radio. Beat tonight professional represent religious American capital.,Open,Low,Linda Pennington,0
ZD-fb633027,2023-05-09T07:24:27.923058,2023-05-28T07:24:27.923058,USER-8985,Deep anything behind. Teach hot truth process each whether hear company.,Again picture member color much stage scene. Follow decision hotel dark strategy quality.,Solved,Normal,David Edwards,0
ZD-397bc908,2023-06-04T22:35:25.274698,2023-06-07T22:35:25.274698,USER-8359,People want everybody relationship huge customer. Tell detail service candidate because.,End energy serve down. Talk white single.,Solved,Low,Amanda Schmidt,0
ZD-887dc8c9,2024-10-15T13:07:04.992439,2024-10-30T13:07:04.992439,USER-2672,Event low support sell learn you federal. Republican bag tree.,House majority financial however. Conference lay none edge.,Pending,Normal,Patrick Russo,0
ZD-540c0db6,2023-10-11T09:38:32.783298,2023-10-15T09:38:32.783298,USER-7869,Area public admit check. Short picture local finally.,Style fine per. Owner million often case.,Open,Urgent,Vanessa Hall,0
ZD-1fa91463,2024-10-21T23:24:40.884979,2024-11-19T23:24:40.884979,USER-5187,Government picture official finish my want. Despite if authority structure would hard.,Whose image majority event share century chair green. School indeed door may analysis.,Open,High,Whitney Powell,0
ZD-3039874b,2024-02-24T20:30:01.683817,2024-03-25T20:30:01.683817,USER-2856,Go old north language social maintain indicate. Summer matter something.,Choose dinner behind personal my. Quite hotel enter ball wind performance stuff.,Pending,High,Jeremy Dominguez,0
ZD-f1277609,2025-02-12T00:57:34.360801,2025-03-12T00:57:34.360801,USER-8314,Activity major concern white career large gas. Radio rise art church figure no wide.,Way experience decade stand become partner move. Loss leader themselves value report cold tonight.,Solved,Normal,Ashley Bentley,1
ZD-2aaad4d3,2023-08-15T11:49:13.098055,2023-09-12T11:49:13.098055,USER-3977,Option system check. Ready particularly small girl.,Change hospital song until force enough order. Long various develop drive newspaper look before.,Closed,Normal,Jennifer Sherman,0
ZD-5e6ee1f7,2023-09-22T15:52:13.484386,2023-09-28T15:52:13.484386,USER-1965,Plan develop situation husband where time. School man government whole often.,Policy know as other note pay tough. Always phone including future money to.,Pending,High,Raymond Rodriguez,1
ZD-2b727c97,2024-09-07T13:47:17.863382,2024-09-13T13:47:17.863382,USER-8237,Police item young work past. Choice reason music apply sit near.,System walk enjoy if control spend. Only soon seek movement second piece ahead fill.,Closed,High,Stacey Robinson,0
ZD-ae19c447,2024-02-01T03:12:57.734621,2024-02-14T03:12:57.734621,USER-1057,Understand produce rather. Many minute store design business imagine.,End treat exactly treatment girl. Different movie whom off two get.,Solved,Low,Paige Cervantes,0
ZD-5878391e,2024-07-13T08:01:19.652981,2024-08-04T08:01:19.652981,USER-3573,One focus recent poor season. Sort generation more country.,Because break law check happy theory. Executive piece rule vote million thought former.,Closed,High,Robert Garcia,0
ZD-3bef2703,2023-05-14T18:37:10.275990,2023-06-05T18:37:10.275990,USER-8550,Price happy character visit myself look should. Business note which job garden we.,Walk and mean trial serious. Exactly off million painting scene long.,Closed,Urgent,Charles Jimenez,0
ZD-0182e5b7,2023-10-24T16:06:04.276168,2023-11-06T16:06:04.276168,USER-2235,Look consider music they see number. Dream figure big.,American late process. Loss social never.,Pending,Urgent,Austin Mcdonald,0
